Start Date,End Date,Category,RSI,Area of Snow >= 0,Population >= 0,Area of Snow >= 4,Population >= 4,Area of Snow >= 10,Population >= 10,Area of Snow >= 20,Population >= 20,Area of Snow >= 30,Population >= 30
2/15/1946,2/21/1946,2,3.732,173085,58632305,152722,47796905,72151,18004505,922,90205,0,0
12/17/1945,12/20/1945,1,2.729,163235,58759660,107641,54291700,23554,17338900,0,0,0,0
1/13/1945,1/17/1945,1,2.548,174373,58868569,137048,46160969,29291,8825569,48,9919,0,0
12/8/1944,12/13/1944,1,2.155,174421,58818348,91006,10517248,41082,7491868,2575,643678,0,0
2/8/1944,2/13/1944,1,1.972,173893,58855980,134252,46160980,7563,1996880,0,0,0,0
1/25/1943,1/29/1943,1,2.647,154730,58476132,86096,48884442,37959,16413142,9,3042,0,0
3/28/1942,3/31/1942,1,2.4,169798,58860294,48126,11963094,16625,7457974,5506,1368494,153,24584
2/28/1942,3/4/1942,1,1.782,168472,57033415,92890,14587415,37911,6863305,663,91395,0,0
3/7/1941,3/10/1941,2,4.451,174834,58911560,167021,57365900,66683,35766200,0,0,0,0
2/13/1940,2/15/1940,2,4.094,154250,58562128,119231,52824288,78763,24860488,2181,125288,0,0
11/23/1938,11/25/1938,2,3.525,174834,58911490,163225,56079100,63810,12720600,0,0,0,0
2/10/1936,2/15/1936,1,1.5,168261,58818876,92851,39180576,4449,1515376,9,1516,0,0
1/18/1936,1/21/1936,2,3.988,173595,58805481,146898,46771281,85855,22827781,461,92081,0,0
1/21/1935,1/25/1935,2,4.301,174008,58902811,108054,49355621,67058,41862481,1393,67781,0,0
2/23/1934,2/27/1934,1,2.73,174719,58910390,161063,57730980,13694,9417580,0,0,0,0
12/26/1933,12/27/1933,1,2.848,174478,58907690,165349,54725310,28253,7926710,0,0,0,0
12/16/1932,12/18/1932,1,1.282,122143,54890980,40458,40554680,3805,4737880,0,0,0,0
3/4/1931,3/12/1931,1,1.662,164859,52446314,112417,12910114,35297,3790054,105,60814,0,0
12/19/1929,12/24/1929,1,1.481,174143,58904209,127140,16756509,16865,1791109,38,4899,0,0
2/20/1929,2/22/1929,1,2.186,174834,58911540,140046,53172490,7447,3123290,0,0,0,0
2/16/1927,2/21/1927,2,3.209,172605,58889211,124833,41288511,49750,9819911,2815,644241,0,0
2/3/1926,2/5/1926,2,4.379,173614,58847801,131464,50467981,63099,32400381,2191,597381,9,3415
1/7/1926,1/10/1926,1,2.068,169991,58862492,132963,23656992,42034,3739992,9,542,0,0
1/28/1925,1/31/1925,3,7.383,174142,58904199,155960,37494199,77043,8723499,20277,2337229,624,117939
12/31/1924,1/3/1925,1,1.962,119336,53381377,56996,36327177,16980,16767077,153,45677,0,0
4/1/1924,4/4/1924,1,2.88,173537,58899540,149656,52890750,37949,9013850,0,0,0,0
2/17/1924,2/21/1924,1,2.952,173278,58897029,161640,52687109,41438,4867909,807,30499,0,0
2/3/1923,2/7/1923,1,1.016,140209,57380761,44744,36776861,115,35061,0,0,0,0
1/26/1922,1/30/1922,2,3.756,102682,53135150,37805,34096450,18518,14853550,4238,4584550,0,0
2/18/1921,2/22/1921,2,3.91,163706,58587848,92765,51529508,58467,39097008,326,79708,0,0
2/4/1920,2/7/1920,3,6.028,174594,58908334,156518,55924934,109938,40765934,5285,677434,38,9723
1/25/1918,1/29/1918,1,1.261,171673,58886325,60264,25508725,13434,4754725,28,4115,0,0
1/21/1918,1/23/1918,1,1.078,164801,58794700,50125,38241700,0,0,0,0,0,0
1/12/1918,1/16/1918,1,2.114,170856,58287560,150954,29996560,31828,1619960,153,13950,0,0
12/12/1917,12/15/1917,2,4.354,172941,58890720,140747,47749620,59591,18676620,4026,709520,96,37679
12/6/1917,12/9/1917,1,1.247,170424,58692200,118683,16078500,6928,1207200,0,0,0,0
3/2/1917,3/6/1917,2,4.661,173691,58820367,169818,57758167,61436,40271767,365,152067,0,0
3/2/1916,3/9/1916,2,4.44,174200,58903443,129590,43416143,88719,27087543,4199,190643,0,0
12/10/1915,12/15/1915,3,6.133,173960,58896221,133434,45826321,50654,20539021,9465,3561821,192,82781
4/3/1915,4/5/1915,1,2.158,119682,51166922,58438,42657802,12829,20787002,19,16702,0,0
3/2/1915,3/8/1915,1,1.444,108093,50980710,71998,34420010,10350,4149510,0,0,0,0
1/29/1915,2/3/1915,1,1.686,174161,58902970,94571,36474270,21593,1286370,0,0,0,0
2/12/1914,2/15/1914,3,9.875,174200,58903411,167540,57547951,105604,30041351,19344,2678451,864,226531
2/16/1910,2/18/1910,1,1.292,161236,50813830,112119,14359030,13771,1980930,0,0,0,0
2/10/1910,2/13/1910,2,3.297,173249,58894184,159516,51153114,57131,9578914,653,80234,0,0
1/12/1910,1/15/1910,2,3.287,141238,57793029,104239,52689719,33952,28583719,201,44819,9,2656
12/23/1909,12/27/1909,2,4.391,173258,58894772,142977,56319312,40563,32223012,922,562212,67,44358
3/2/1909,3/5/1909,1,1.617,171183,58874770,106834,38267570,4862,2536870,0,0,0,0
1/27/1909,1/31/1909,1,1.231,171625,58834736,87950,28828636,4862,409636,0,0,0,0
1/10/1909,1/15/1909,1,1.076,170520,58426429,116233,13565229,1941,209929,0,0,0,0
